alsa-firmware 1.2.4-4
alsa-utils 1.2.14-1
amd-ucode 20250808-1
amdvlk 2025.Q2.1-1
ansible 11.9.0-1
apache 2.4.65-3
aspnet-runtime 9.0.8.sdk109-1
authenticator 4.6.2-1
base 3-2
base-devel 1-2
bat 0.25.0-4
bettercap 2.41.0-1
blueberry 1.4.8-2
bluez 5.83-1
bluez-utils 5.83-1
bottom 0.11.1-1
brightnessctl 0.5.1-3
ccache 4.11.3-2
chaotic-keyring 20250614-1
chaotic-mirrorlist 20240724-3
cheese 44.1-5
chromium 140.0.7339.127-1
cht.sh-git r922.b714a5f-1
clipse 1.1.0-1
cmake 4.1.1-1
composer 2.8.11-1
cpio 2.15-3
cryptsetup 2.8.1-1
dart 3.8.1-1
docker 1:28.3.3-1
docker-compose 2.39.3-1
dotnet-runtime 9.0.8.sdk109-1
dotnet-sdk 9.0.8.sdk109-1
dunst 1.13.0-1
efibootmgr 18-3
elixir 1.18.4-1
emacs-wayland 30.2-1
evince 48.1-1
eza 0.23.2-1
fastfetch 2.52.0-1
fd 10.3.0-1
fzf 0.65.2-1
gdb 16.3-1
gimp 3.0.4-4
git 2.51.0-1
git-delta 0.18.2-4
github-cli 2.79.0-1
gnome-keyring 1:48.0-1
go 2:1.25.1-2
grafana 12.1.1-1
greetd 0.10.3-1
greetd-regreet 0.2.0-1
grub 2:2.12.r359.g19c698d12-1
grub-btrfs 4.13-2
gst-libav 1.26.5-2
gst-plugins-bad 1.26.5-2
gst-plugins-good 1.26.5-2
gst-plugins-ugly 1.26.5-2
gtk3 1:3.24.50-1
gtk4 1:4.18.6-1
gtk4-docs 1:4.18.6-1
gtk4-layer-shell 1.2.0-1
helm 3.18.6-1
htop 3.4.1-1
httpie 3.2.4-1
hypridle 0.1.7-1
hyprland 0.51.0-2
hyprlock 0.9.1-1
hyprpaper 0.7.5-3
hyprpicker 0.4.5-4
hyprpolkitagent 0.1.3-1
hyprshot 1.3.0-4
hyprsunset 0.3.2-1
imv 4.5.0-5
inkscape 1.4.2-8
inotify-tools 4.23.9.0-2
insomnia 11.5.0-1
jdk-openjdk 24.0.2.u12-1
jenkins 2.526-1
jetbrains-toolbox 2.8.1.52155-1
kafka 4.1.0-1
kitty 0.42.2-1
kotlin 2.2.0-2
kubeadm 1.33.4-1
kubectl 1.33.4-1
kubelet 1.33.4-1
lazydocker 0.24.1-2
lazygit 0.55.0-1
libnotify 0.8.6-1
libreoffice-fresh 25.8.1-2
linux 6.16.7.arch1-1
linux-firmware 20250808-1
linux-headers 6.16.7.arch1-1
luarocks 3.12.2-1
lvm2 2.03.35-1
lynx 2.9.2-2
man-db 2.13.1-1
man-pages 6.15-1
mariadb 12.0.2-1
maven 3.9.11-1
meson 1.9.0-1
mongodb 8.0.12-2
mongosh 2.3.9-1
nautilus 48.3-1
neovim 0.11.4-1
network-manager-applet 1.36.0-1
networkmanager 1.54.0-1
nginx 1.28.0-4
nim 2.0.8-1
nix 2.31.1-1
noto-fonts-emoji 1:2.048-1
noto-fonts-extra 1:2025.09.01-1
nss-mdns 0.15.1-2
nvm 0.40.3-1
nwg-displays 0.3.26-1
nwg-look 1.0.6-1
nyx 2.1.0-9
obs-studio 31.1.2-1
obsidian 1.9.12-1
ocaml 5.3.0-1
ollama 0.11.10-2
pacman-contrib 1.13.0-1
pavucontrol 1:6.1-1
php 8.4.12-1
pinta 3.0.3-1
pipewire-alsa 1:1.4.8-1
pipewire-libcamera 1:1.4.8-1
pipewire-pulse 1:1.4.8-1
postgresql 17.5-5
powerpill 2021.11-15.1
prettyping 1:1.0.1-4
prometheus 3.5.0-1
python-pipenv 2025.0.4-1
python-pipx 1.7.1-2
qemu-base 10.1.0-1
qemu-full 10.1.0-1
qt5-wayland 5.15.17+kde+r57-1
qtcreator 17.0.1-1
r 4.5.1-1
rabbitmq 4.1.3-1
rbenv 1.3.2-2
reflector 2023-3
ripgrep 14.1.1-1
rofi 2.0.0-1
ruby 3.4.5-1
ruby-build 20250811-1
rustup 1.28.2-3
snap-pac 3.0.1-3
snapper 0.13.0-1
sof-firmware 2025.05.1-1
solidity-bin 0.8.30-1
stow 2.4.1-1
strace 6.16-1
sudo 1.9.17.p1-1
swift-bin 6.1.3-1
terraform 1.13.2-1
texinfo 7.2-1
tmux 3.5_a-1
tmuxinator 3.3.5-2
tor 0.4.8.17-2
torbrowser-launcher 0.3.7-3
tree 2.2.1-1
tree-sitter-cli 0.25.9-1
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.4.0-1
typescript 5.9.2-1
udiskie 2.5.8-1
usbutils 018-1
uv 0.8.17-1
uwsm 0.23.3-1
valkey 8.1.3-1
visual-studio-code-bin 1.104.0-1
vulkan-radeon 1:25.2.2-2
warp-terminal v0.2025.09.10.08.11.stable_01-1
waybar 0.14.0-1
webcord 4.11.1-1
wget 1.25.0-2
wl-clipboard 1:2.2.1-3
wlogout 1.2.2-0.3
xdg-desktop-portal-gnome 48.0-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.10-1
xdg-desktop-portal-wlr 0.7.1-1
xdg-user-dirs 0.18-2
yay 12.5.0-1
youtube-music-bin 3.11.0-1
zen-browser-bin 1.15.5b-1
zig 0.14.1-2
zoxide 0.9.8-2
zsh 5.9-5
